order,class_name,class_teacher,class_school,class_sum
26,基于数据驱动的网络技术应用,姜泽勋 焦立博 董加卿 ,清华大学,244
27,教AI审合同——人工智能技术在法律领域的应用,张天扬 ,清华大学,241
27,知识疫图——AI+大数据在新冠肺炎知识智能服务中的应用,张鹏 ,智谱·AI,237
27,AI for Academic Search （人工智能助力学术搜索）,唐杰 周园春 李涓子 刘筱敏  刘雪峰 杜一 张鹏 ,清华大学,230
27,基于神经网络建模的信息传播预测,杨成 ,清华大学,225
27,新冠疫情地图可视化的技术实践,殷达 ,清华大学,225
27,计算机网络技术,巩向锋 王亚晨 张楚文 万颖 郭润 张一铭 江逸敏 林耘森箫 王子逸 ,旷视科技有限公司,219
27,机器阅读理解：算法与实践,朱晨光 ,微软,214
27,用户导向的音视频体验优化,马茗 ,清华大学,211
27,法律智能,钟皓曦 ,清华大学,210
27,金融科技与量化分析,孟康健 刘英斐 汪浩 宋战江 ,学堂在线,207
28,算法训练营,邓俊辉 ,清华大学,204
28,基于图神经网络的事实验证,周界 ,清华大学,204
28,深度学习框架的移动端优化,曾平 杨滔 ,旷视科技有限公司,203
28,面向移动与边缘设备的人工智能系统,徐梦炜 ,北京大学,197
28,程序设计,李自力 ,西南财经大学,192
28,C Programming,丁海燕 胡盛 ,云南大学,189
28,Software Engineering,张爽 ,东北大学,189
28,计算机图形学,孙劲光 ,辽宁工程技术大学,188
28,人工智能基础核心技术之事件检测,仝美涵 ,清华大学,184
28,知识图谱推理问答综述,史佳欣 ,清华大学,181
29,知识图谱推理问答综述,史佳欣 ,清华大学,181
29,对话系统：过去、现在和未来,黄民烈 ,清华大学,178
29,Web前端开发,何杰惠 孙瑜 苟彦昉 ,陕西国防工业职业技术学院,175
29,解密旷视抗疫情AI体温产品——明骥,胡晨 ,清华大学,173
29,面向对象分析与设计,张涛 ,西北工业大学,173
29,Computer Networks,王昊翔 ,华南理工大学,170
29,清华大学计算机系1996级创新创业论坛,,,165
29,融合知识的预训练语言模型,张正彦 ,清华大学,165
29,HTML5 Mobile Front-end Development Foundation,刘小华 曾建华 ,深圳职业技术学院,165
29,商汤泰坦公开课模型量化专题,余锋伟 龚睿昊 ,商汤科技,156
30,滴滴语音技术,滴滴-科技生态与发展部 ,滴滴,156
30,Introduction to C++: Problem Solving Using Computational Thinking,赵宏 郭蕴 路明晓 李妍 王刚 郭天勇 于刚 康介恢 ,南开大学,155
30,复杂场景下的机器阅读理解,林衍凯 ,清华大学,155
30,数据结构与算法,黄晓鸣 ,北京交通大学,151
30,时空大数据分析和挖掘实战,袁海涛 ,清华大学,150
30,EMNLP2020专场分享,李健铨 关健 朱子宁 ,天津大学,150
30,初探图神经网络在分子成药性估计中的应用,裘捷中 ,清华大学,147
30,Computer Fundamentals: Problem Solving Using Computational Think,李敏 高裴裴 郭蕴 蔡庆琼 宋丽培 ,南开大学,145
